id, masv_tham so dau, masv, namsinh, gioitinh, noisinh, lopsh, khoa, hedt, khoahoc, chuyennganh2, tinhtrang, diachi_tinhtp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1352,BE375BAAXPvAibaEXe9JDlHA4z2GHJ3/PVStCxR2,1995,1, TP. Hì ChÌ Minh, KTPM0001, CNPM, CQUI,8, D480103,3, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1352,2420ED57XPvAibaEXe/Lh6v1XxTKJa6JLFRUPkLM,1995,1, ?ìng Th·p, HTTT0001, HTTT, CTTT,8, D480104,3, Huyán HÛc MÙn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1352,83B76C01XPvAibaEXe/lOccskaOiO2K46r7t4qnt,1994,1, H‡ Nam Ninh, KHMT2013, KHMT, CQUI,8, D480101,5, Tânh H‡ Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1352,91F785ABXPvAibaEXe/lOccskaOiO5y4GbVvuRQu,1995,1, TP. Hì ChÌ Minh, HTTT0001, HTTT, CTTT,8, D480104,3, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1352,007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,1995,1, Th‡nh phë Hì ChÌ Minh, MMTT0001, MMT&TT, CQUI,8, D480201,8, Th‡nh phë Hì ChÌ Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1352,4D1054A2XPvAibaEXe8WD3qnVG2b/aV/yYzs56/D,1995,0, H‡ T?nh, KTPM0001, CNPM, CQUI,8, D480103,3, Tânh H‡ T?nh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1352,AE78A5C2XPvAibaEXe+yU1j0ocViqV7UP2kSRFnX,1995,1, Thanh HÛa, MMTT0001, MMT&TT, CQUI,8, D480201,8, Tânh Thanh HÛa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1352,C6114925XPvAibaEXe/Bn5cQSu92WepaWyZsqola,1995,1, Qu?ng Ng„i, HTTT0001, HTTT, CQUI,8, D52480104,3, TÏnh Qu?ng Ng„i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1352,EAA0B693XPvAibaEXe99j2P15eeB04XwhZ0tzlI4,1994,1, TP. Hì ChÌ Minh, KHMT0001, KHMT, CQUI,8, D480101,3, Qu?n 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1352,01CD0FE9XPvAibaEXe/YKN5ysyYL7C/LVIRFhL6K,1993,1, Kh·nh Ho‡, KHTN2013, KHMT, CNTN,8, D480101,5, Tânh Kh·nh Ho‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
