masv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG
7E308531XPvAibaEXe879+AOg1gh8i58Q/VMq7RU,THPT,24.5,53,32,THPT BÏnh ?Ùng
0FCB6532XPvAibaEXe879+AOg1gh8o0EEQcYQ8HR,THPT,27.5,16,41,THPT LÍ Xoay
BAF446BFXPvAibaEXe879+AOg1gh8uQrEauqA0AG,THPT,25,42,21,THPT Di Linh
599DFFB8XPvAibaEXe879+AOg1gh8lJvChSN7o+V,THPT,28,51,34,THPT M? Hi?p
364B9E9BXPvAibaEXe879+AOg1gh8sRVdBmZSiXe,THPT,24.5,52,39,TTGDTX-HN ??t ?? (Tr??c 01/7/2019)
BBAD4F2BXPvAibaEXe879+AOg1gh8vGaQYZ3wJAR,THPT,29.5,2,53,THPT Nguy?n CÙng Tr?
88C15831XPvAibaEXe879+AOg1gh8uMWWp9sXQnJ,THPT,26.5,2,188,THPT Tr?n Quang Kh?i
FC77E598XPvAibaEXe879+AOg1gh8pb/q8KzJ2A3,THPT,34,33,1,THPT ChuyÍn Qu?c H?c-Hu?
9E9A38AEXPvAibaEXe879+AOg1gh8jBg5Ccj9ksF,THPT,23.5,54,7,THPT KiÍn L??ng
140E6C4CXPvAibaEXe/asAVnWDRS7Te/6FHN3JZ9,THPT,26,36,1,THPT Kon Tum
A6EA9F79XPvAibaEXe/asAVnWDRS7dXIHpGvggPH,THPT,23,57,27,THCS v‡ THPT Ph˙ Th?nh
F9AD085CXPvAibaEXe/asAVnWDRS7ejs/e1rGnUq,THPT,26.5,46,55,TT GDNN-GDTX GÚ D?u
B1460568XPvAibaEXe/asAVnWDRS7f+aMPJ9kBjL,THPT,25.5,45,1,THPT Nguy?n Tr„i
E210AA8EXPvAibaEXe/asAVnWDRS7eUZUTEqhAQl,THPT,27.5,3,7,THPT NgÙ Quy?n
32CA7383XPvAibaEXe/asAVnWDRS7W3J9+TvE5ZI,THPT,25,48,3,THPT NgÙ Quy?n
85A1EF64XPvAibaEXe/asAVnWDRS7aDwG/eutYGP,THPT,32.5,2,65,THPT Ho‡ng Hoa Th·m
E68386BCXPvAibaEXe/asAVnWDRS7bT1MwA0tQQ/,THPT,26.5,48,66,THPT Tr?n ??i Ngh?a
786BE3EBXPvAibaEXe/asAVnWDRS7UAj1YtnlMWY,THPT,24.5,54,16,THPT An BiÍn
F585674DXPvAibaEXe93PEySAJOVk6T3mUZtHkOx,THPT,31,55,12,THPT B˘i H?u Ngh?a
9095EEE4XPvAibaEXe93PEySAJOVk2kOrJQCpxlr,THPT,26.5,48,7,THPT LÍ H?ng Phong
246BFB8AXPvAibaEXe93PEySAJOVk7f1TlF/mfrO,THPT,25,2,57,THPT Nguy?n ChÌ Thanh
9593C5A1XPvAibaEXe93PEySAJOVkwyGf+OwqHPe,THPT,26.5,47,13,THPT ChuyÍn Tr?n H?ng ??o
B652E11DXPvAibaEXe93PEySAJOVkyJM7AttkNBy,THPT,27,42,18,THPT ??c Tr?ng
D563BE5EXPvAibaEXe93PEySAJOVk29BEIkXUhF+,THPT,27.5,47,1,THPT Phan B?i Ch‚u
98247E19XPvAibaEXe93PEySAJOVkxsz+HIviyYJ,THPT,25,55,35,THPT Th?nh An
FF601AFCXPvAibaEXe93PEySAJOVk+OR7t0UZryF,THPT,24.5,41,22,THPT Nguy?n Thi?n Thu?t
94D07C75XPvAibaEXe93PEySAJOVk2ldmZ8HMbbn,THPT,24.5,2,30,THPT L??ng V?n Can
33472657XPvAibaEXe8ge2UHv4J4BwEOqNnp7N/7,THPT,31.5,2,72,THPT Th? ??c
04F89839XPvAibaEXe8ge2UHv4J4B7N8hGEpTcLN,THPT,26.5,41,9,THPT Hu?nh Th˙c Kh·ng
4CD37F46XPvAibaEXe8ge2UHv4J4Byyo6uzLKM42,THPT,24.5,44,25,THPT Nguy?n An Ninh
C1A9FD65XPvAibaEXe8ge2UHv4J4BztlfCscqMWw,THPT,24,29,30,THPT Qu?nh L?u 2
5236793DXPvAibaEXe8ge2UHv4J4B3cK3m4MI0jB,THPT,30,35,20,Tr??ng THPT Chu V?n An
7CAAEE6BXPvAibaEXe8ge2UHv4J4B+kFXfDUb6ad,THPT,30.5,37,16,THPT S? 2 An Nh?n
97CE096EXPvAibaEXe8ge2UHv4J4B99T3E9bmk5q,THPT,24.5,2,188,THPT Tr?n Quang Kh?i
1CE4CDB2XPvAibaEXe8ge2UHv4J4ByS1Gt3OtWsA,THPT,26.5,2,76,THPT V?nh L?c
24DC3D8AXPvAibaEXe8ge2UHv4J4B18QuY8RUYi8,THPT,28.5,33,3,THPT Nguy?n Hu?
6E479E37XPvAibaEXe+1P/4gNbgreS61mE4eZb4e,THPT,27,44,3,THPT Vı Minh ??c
FEB67E7CXPvAibaEXe+1P/4gNbgreX5kOa5/zSG4,THPT,24.5,43,3,THPT ChuyÍn Quang Trung
13D944E0XPvAibaEXe+1P/4gNbgreZHDR7oX7edx,THPT,25,2,53,THPT Nguy?n CÙng Tr?
B2BC792FXPvAibaEXe+1P/4gNbgrefoTGueuT4Wa,THPT,28.5,28,58,TC ngh? MN T.Ho·
EE98DE11XPvAibaEXe+1P/4gNbgrecMcGsUFy/kO,THPT,25,47,6,THPT L˝ Th??ng Ki?t
182EDDDCXPvAibaEXe+1P/4gNbgredAYJhLzP30B,THPT,24.5,2,40,THPT Nguy?n Khuy?n
F5705943XPvAibaEXe+1P/4gNbgreYZ1sK9mulny,THPT,28.5,37,1,Qu?c H?c Quy Nh?n
1662E3E1XPvAibaEXe+1P/4gNbgreUA+MXxSOODq,THPT,27.5,2,106,THPT LÍ Tr?ng T?n
1D5EC289XPvAibaEXe+1P/4gNbgreeJ2VIlZrW72,THPT,24,42,26,THPT B?o L?c
FE176735XPvAibaEXe+1P/4gNbgreQ94npTP4/sD,THPT,27,2,262,THCS THPT T‚n Ph˙
B35C4D81XPvAibaEXe+4hxKfaQWuhMpsX+yPsJqX,THPT,24.5,31,4,THPT ChuyÍn Vı NguyÍn Gi·p
58E06BD3XPvAibaEXe+4hxKfaQWuhIL+w/2UgtML,THPT,26.5,52,8,THCS - THPT Song ng?
0A2744ACXPvAibaEXe+4hxKfaQWuhJdFGWeKvxxz,THPT,22,48,30,THPT ?i?u C?i
51E1C3E0XPvAibaEXe+4hxKfaQWuhLp2zzmiiyRe,THPT,32,42,46,THPT LÍ Th? Pha - B?o L?c
BDEDD44DXPvAibaEXe+4hxKfaQWuhAQGSgtQEIOS,THPT,28,2,50,THPT Tr??ng Chinh
BC40EF90XPvAibaEXe+4hxKfaQWuhCn4CgCxF0TJ,THPT,25,2,171,THPT TT Qu?c V?n S‡i gÚn
A70F6ECCXPvAibaEXe+4hxKfaQWuhGFMu3PMgcNG,THPT,25.5,2,226,THPT Tr?n Nh‚n TÙng
530FE4E9XPvAibaEXe+4hxKfaQWuhFsElpA2NjHn,THPT,26.5,53,22,THPT V?nh BÏnh
3E756495XPvAibaEXe9P07hcrvmhCa0nLHGm6qSN,THPT,29,35,50,Tr??ng THPT T‚y Tr‡ (Tr??c 01/02/2020)
5E4374B1XPvAibaEXe9P07hcrvmhCcXTNAkNC9Wy,THPT,24,47,7,THPT ??c Linh
53D6B6A5XPvAibaEXe9P07hcrvmhCdWEvna10bwL,THPT,23.5,50,910,THPT Th·p M??i
0D5828BAXPvAibaEXe9P07hcrvmhCf8ZveiQ5xwl,THPT,28.5,39,12,THPT Phan ?Ïnh Ph˘ng
981C7989XPvAibaEXe9P07hcrvmhCcxHupzWlaJ2,THPT,27.5,47,9,THPT HÚa ?a
F8E79C58XPvAibaEXe9P07hcrvmhCRobNyHYqD/N,THPT,23.5,40,2,THPT BuÙn Ma Thu?t
538FDEFEXPvAibaEXe9P07hcrvmhCe3unM2XvNXE,THPT,27,52,14,THPT Ph??c B?u
8B7499D5XPvAibaEXe9P07hcrvmhCcn1vUPlZj5m,THPT,26,48,18,THPT D?u Gi‚y
9D24935AXPvAibaEXe9P07hcrvmhCaK9iQTZe/LS,THPT,24.5,2,12,Ph‚n hi?u THPT LÍ Th? H?ng G?m
0F6FD99FXPvAibaEXe9hPQQhQOOPydGyiKRryin1,THPT,26.5,43,2,THPT Nguy?n Du
64E9FDE3XPvAibaEXe9hPQQhQOOPyStw/R4lOHbB,THPT,29,2,16,THPT chuyÍn LÍ H?ng Phong
31344271XPvAibaEXe9hPQQhQOOPyQ/T6/YpD1bo,THPT,23.5,48,23,THPT Long Th‡nh
0ECFDCE2XPvAibaEXe9hPQQhQOOPyenrlTjJyLmh,THPT,26,35,17,Trung t‚m GDNN-GDTX huy?n S?n T?nh
83845261XPvAibaEXe9hPQQhQOOPyYvq0zhwjv2w,THPT,29.5,2,59,THPT T‚n BÏnh
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,THPT,23.5,29,54,THPT Phan ??ng L?u
952C9BD7XPvAibaEXe9hPQQhQOOPyVKuFZF5BlyS,THPT,24.5,2,173,THPT Tr?n H?ng ??o
76CACACBXPvAibaEXe9hPQQhQOOPyV0cvrwNuPGz,THPT,30,28,91,TTGDNN-GDTX Tri?u S?n
2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM,THPT,32,42,48,THPT L?c Th‡nh
F832105BXPvAibaEXe+cD1fKElqxL8dha7yinstM,THPT,25.5,25,62,THPT LÍ Qu˝ ?Ùn
209DFFA3XPvAibaEXe+cD1fKElqxL0w/CiUgdc4i,THPT,28,2,47,THPT Tr?n Quang Kh?i
2527BAB9XPvAibaEXe+cD1fKElqxL9jGStBoq3T8,THPT,28.5,35,30,Tr??ng THPT Nguy?n CÙng Tr?
3E437E83XPvAibaEXe+cD1fKElqxL3AMjMxrtDdl,THPT,28.5,37,18,THPT HÚa BÏnh
E997D336XPvAibaEXe+cD1fKElqxL3Gg+IEXlrlL,THPT,24,47,8,THPT T·nh Linh
6EB4408FXPvAibaEXe+cD1fKElqxL06nWB8JXnUx,THPT,23,42,21,THPT Di Linh
4D645550XPvAibaEXe+cD1fKElqxL9313y/YAPXl,THPT,28,42,24,THPT B?o L‚m
47140B5BXPvAibaEXe+cD1fKElqxL341hodw+e7I,THPT,26,30,14,THPT Nguy?n Trung ThiÍn
8719AFF0XPvAibaEXe+cD1fKElqxLxHCg1eAHaJE,THPT,28.5,34,13,THPT S‡o Nam
85AB9A11XPvAibaEXe+cD1fKElqxL3rmZzDf2Nuw,THPT,26.5,25,28,THPT Giao Thu? B
A0CBAC25XPvAibaEXe/PGAaNNWvbUIg+w572qFZR,THPT,24.5,2,53,THPT Nguy?n CÙng Tr?
D39EBBA2XPvAibaEXe/PGAaNNWvbUH5UcB2OERFM,THPT,25.5,38,1,Tr??ng THPT Pleiku
C47110EFXPvAibaEXe/PGAaNNWvbUF95KJJbQ6Bs,THPT,29,54,18,THPT V?nh Thu?n
479E77A5XPvAibaEXe/PGAaNNWvbUNSidEr/n3m6,THPT,26.5,2,177,THPT ?Ùng Du
8219EA1DXPvAibaEXe/PGAaNNWvbUAwbuGIAPcg8,THPT,25.5,44,24,THPT D? An
5B6EEE16XPvAibaEXe/PGAaNNWvbUKB+697ALtA7,THPT,27,31,4,THPT ChuyÍn Vı NguyÍn Gi·p
4BF55C16XPvAibaEXe/PGAaNNWvbULYXtWNJnzcF,THPT,24.5,2,177,THPT ?Ùng Du
D8B81312XPvAibaEXe/PGAaNNWvbUIfmRv3bR2wn,THPT,25.5,2,211,THCS THPT Phan B?i Ch‚u
A0E35B97XPvAibaEXe/PGAaNNWvbUGQEBTzIPKBn,THPT,25.5,41,9,THPT Hu?nh Th˙c Kh·ng
5E0FC4EBXPvAibaEXe/PGAaNNWvbUCzKilEFlh7i,THPT,25,63,17,THPT Tr??ng Chinh
2D110B13XPvAibaEXe+lo6eJkHWaQQMgTsF0se6I,THPT,24,43,24,Trung t‚m GDNN - GDTX huy?n B˘ ??p
8688239BXPvAibaEXe+lo6eJkHWaQdxLz0hNOYmX,THPT,27.5,2,21,THPT Tr?n H?u Trang
D06A6062XPvAibaEXe+lo6eJkHWaQfW61NRig7M4,THPT,23,56,22,THPT LÍ Ho‡i ?Ùn
8DD54882XPvAibaEXe+lo6eJkHWaQfUDaN2PBVrw,THPT,28,2,34,THPT Nguy?n V?n Linh
553F83D0XPvAibaEXe+lo6eJkHWaQXmbzaKicEyV,THPT,29,2,16,THPT chuyÍn LÍ H?ng Phong
F257BE3EXPvAibaEXe+lo6eJkHWaQX9v5OomNEKz,THPT,28.5,41,41,THPT NgÙ Gia T?
4D3A7564XPvAibaEXe+lo6eJkHWaQXS675WWbm48,THPT,29,50,190,Tr??ng THPT chuyÍn Nguy?n Quang DiÍu
51BD86DFXPvAibaEXe+lo6eJkHWaQbDd3aiNSKaR,THPT,24.5,52,16,THPT Ho‡ H?i
C83A25DCXPvAibaEXe9X5bpEKoa0mpWrB2A9Cxkr,THPT,25.5,63,17,THPT Tr??ng Chinh
A2A984F7XPvAibaEXe9X5bpEKoa0mp7uV1IrtAed,THPT,24.5,51,21,THPT Th?nh M? T‚y
91C557BBXPvAibaEXe9X5bpEKoa0mhzvi3xnxIFE,THPT,26.5,2,57,THPT Nguy?n ChÌ Thanh
0E631785XPvAibaEXe9X5bpEKoa0mgPWtTwg2Rv7,THPT,28.5,2,43,THPT S??ng Nguy?t Anh
85FA5549XPvAibaEXe9X5bpEKoa0msFO9rQKADMb,THPT,27,44,8,THPT BÏnh Ph˙
5032DD33XPvAibaEXe9X5bpEKoa0mil88XvSiR4r,THPT,23.5,31,25,THPT s? 1 B? Tr?ch
49DAAF86XPvAibaEXe9X5bpEKoa0mvcHmZ6rxBHe,THPT,30,35,15,Tr??ng THPT T? th?c Nguy?n B?nh KhiÍm
9A277123XPvAibaEXe9X5bpEKoa0mmVF3uzIq5Oi,THPT,25,47,8,THPT T·nh Linh
DA4648BAXPvAibaEXe8CKeIX0ksEeHU30caAK2WT,THPT,24.5,56,4,THPT Tr?n V?n ?n
4BBC8929XPvAibaEXe8CKeIX0ksEeC2D6tQZpWFy,THPT,28,51,21,THPT Th?nh M? T‚y
0DF7E48FXPvAibaEXe8CKeIX0ksEeL2w5FD8Xm6m,THPT,24,41,24,THPT Ho‡ng Hoa Th·m
0D5F945EXPvAibaEXe8CKeIX0ksEeMKbwIdrC9sO,THPT,23.5,49,6,THPT Nguy?n H?u Th?
93A9CF9CXPvAibaEXe8CKeIX0ksEeBrXPslhxsvc,THPT,26.5,35,15,Tr??ng THPT T? th?c Nguy?n B?nh KhiÍm
E4B6DF8FXPvAibaEXe8CKeIX0ksEeOVNfnmEXxAN,THPT,23.5,38,10,Tr??ng THPT L??ng Th? Vinh
1AD297DDXPvAibaEXe8CKeIX0ksEeAeGfbwnr/en,THPT,24,28,85,THPT Tri?u S?n 2
6ECC84E3XPvAibaEXe80gGmWuNekTx6pALIDxBTb,THPT,25.5,41,17,THPT chuyÍn LÍ Qu˝ ?Ùn
D3602269XPvAibaEXe80gGmWuNekT3Wj11uigulq,THPT,26.5,48,53,THPT Tr?n BiÍn
302C659FXPvAibaEXe80gGmWuNekT9HQE57P7S6C,THPT,31.5,53,25,THPT Tr??ng ??nh
